"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_emissary_summon_01"	"I come bearing gifts from Weeping Rose."
"DCG_VO_emissary_summon_02"	"I am here at the Quorum's behest."
"DCG_VO_emissary_summon_03"	"The Quorum has asked me to deliver a message..."
"DCG_VO_emissary_ancient_attack_01"	"The Quorum congratulates you on your successes."
"DCG_VO_emissary_ancient_attack_02"	"The Quorum wishes for this battle to end."
"DCG_VO_emissary_ancient_protect_01"	"The aid of Weeping Rose has arrived."
"DCG_VO_emissary_ancient_protect_02"	"We can turn the tide..."
"DCG_VO_emissary_ancient_both_01"	"You have friends in Weeping Rose."
"DCG_VO_emissary_ancient_both_02"	"I believe we may be of some assistance."
"DCG_VO_emissary_use_ability_01"	"Behold... the spoils of Weeping Rose."
"DCG_VO_emissary_use_ability_02"	"A gift from the Quorum."
"DCG_VO_emissary_use_ability_03"	"Please accept this gift..."
"DCG_VO_emissary_hero_friend_03"	"Greetings Maiden, please accept this peace offering."
"DCG_VO_emissary_unique_01"	"None can oppose the Quorum's will."
"DCG_VO_emissary_unique_03"	"You forget your place. The Tyler Estate works for us."
"DCG_VO_emissary_unique_04"	"A tribute to the Ancients."
"DCG_VO_emissary_unique_05"	"I believe the Radiant may have need of our services."
"DCG_VO_emissary_unique_06"	"I believe the Dire may have need of our services."
"DCG_VO_emissary_unique_07"	"The Quorum thinks its wonderful you two are working things out."
"DCG_VO_emissary_healed_01"	"Ahhh"
"DCG_VO_emissary_healed_02"	"My thanks."
"DCG_VO_emissary_healed_03"	"Appreciated."
"DCG_VO_emissary_death_01"	"<i>Screams</i>"
"DCG_VO_emissary_tower_destroy_01"	"Congratulations on your impending victory..."
"DCG_VO_emissary_tower_destroy_02"	"I'm here to enforce the Quorum's will."
"DCG_VO_emissary_tower_destroy_03"	"Greetings from the Quorum."
"DCG_VO_emissary_tower_destroy_04"	"I've come to accelerate the inevitable."
"DCG_VO_emissary_tower_destroy_05"	"I won't be needed here for long."
"DCG_VO_emissary_tower_saved_01"	"This battle is far from over."
"DCG_VO_emissary_tower_saved_02"	"Allow the Quorum to be of assistance."
"DCG_VO_emissary_tower_saved_03"	"The tide is beginning to turn."
"DCG_VO_emissary_tower_saved_04"	"The Quorum will do what it can."
"DCG_VO_emissary_tower_saved_05"	"The Quorum has decided to intervene."
"DCG_VO_sis_o_veil_intro"	"My role is not to question, but to act. It doesn't matter if you are a pauper in the street, a king on a throne, or a mad wizard locked away in the Tyler Estate. If your name is given to me by The Veiled Sisters... your death is inevitable. The only question is when will I choose to take it."
"DCG_VO_sis_o_veil_summon_01"	"From the shadows I strike."
"DCG_VO_sis_o_veil_summon_02"	"You can't hide from me."
"DCG_VO_sis_o_veil_summon_03"	"Your death is inevitable."
"DCG_VO_sis_o_veil_ancient_attack_01"	"Your torment is almost over."
"DCG_VO_sis_o_veil_ancient_attack_02"	"Death is upon you."
"DCG_VO_sis_o_veil_ancient_protect_01"	"I go where I am needed."
"DCG_VO_sis_o_veil_ancient_protect_02"	"My blade is yours."
"DCG_VO_sis_o_veil_ancient_both_01"	"We all have our roles to play..."
"DCG_VO_sis_o_veil_ancient_both_02"	"I won't fail you."
"DCG_VO_sis_o_veil_use_ability_01"	"Your name is on my list."
"DCG_VO_sis_o_veil_use_ability_02"	"I'll make this quick."
"DCG_VO_sis_o_veil_use_ability_03"	"You won't feel a thing."
"DCG_VO_sis_o_veil_hero_friend_01"	"It's good to fight by your side, sister."
"DCG_VO_sis_o_veil_hero_friend_03"	"I've come to your aid, sister."
"DCG_VO_sis_o_veil_hero_rival_01"	"I'm sorry Mortred... your name was on my list."
"DCG_VO_sis_o_veil_hero_rival_02"	"I take no pleasure in this sister."
"DCG_VO_sis_o_veil_hero_rival_03"	"Mortred, I wish I was here under better circumstances."
"DCG_VO_sis_o_veil_faction_ally_01"	"The sisters of the veil will not be denied."
"DCG_VO_sis_o_veil_faction_ally_02"	"Death comes for you all."
"DCG_VO_sis_o_veil_faction_ally_03"	"It is an honor to die by our hands."
"DCG_VO_sis_o_veil_unique_01"	"We go together sister..."
"DCG_VO_sis_o_veil_unique_03"	"We strike together, sister!"
"DCG_VO_sis_o_veil_unique_04"	"I will not strike you, sister."
"DCG_VO_sis_o_veil_unique_05"	"Even gods can bleed."
"DCG_VO_sis_o_veil_unique_06"	"your cause will thank you."
"DCG_VO_sis_o_veil_unique_07"	"I won't let you be a martyr."
"DCG_VO_sis_o_veil_unique_08"	"Too easy"
"DCG_VO_sis_o_veil_healed_01"	"Ahhh"
"DCG_VO_sis_o_veil_healed_02"	"Much thanks."
"DCG_VO_sis_o_veil_healed_03"	"My task continues."
"DCG_VO_sis_o_veil_death_01"	"<i>Screams</i>"
"DCG_VO_sis_o_veil_tower_destroy_01"	"Death comes for you."
"DCG_VO_sis_o_veil_tower_destroy_02"	"The Sisters of the Veil come for you."
"DCG_VO_sis_o_veil_tower_destroy_03"	"My blade will not be denied..."
"DCG_VO_sis_o_veil_tower_destroy_04"	"My blade can taste the blood. My lips the victory."
"DCG_VO_sis_o_veil_tower_destroy_05"	"This is an act of mercy."
"DCG_VO_sis_o_veil_tower_saved_01"	"I will hold our position..."
"DCG_VO_sis_o_veil_tower_saved_02"	"We will not fail."
"DCG_VO_sis_o_veil_tower_saved_03"	"The phantom veil protects this place."
"DCG_VO_sis_o_veil_tower_saved_04"	"You must go through me..."
"DCG_VO_sis_o_veil_tower_saved_05"	"I will defend this place."
"DCG_VO_satyr_magician_intro"	"Power. Immortality.  Revenge. These are the three biggest reasons people seek mastery of the arcane arts. But they are not my reasons. I pursue magic because it makes anything possible... and if anything is possible then hope, no matter how remote, can never die."
"DCG_VO_satyr_magician_summon_01"	"Allow me to beguile your senses..."
"DCG_VO_satyr_magician_summon_02"	"You're about to witness something incredible..."
"DCG_VO_satyr_magician_summon_03"	"Limits are for the lesser."
"DCG_VO_satyr_magician_ancient_attack_01"	"This won't take long."
"DCG_VO_satyr_magician_ancient_attack_02"	"I'm afraid this won't end well for you."
"DCG_VO_satyr_magician_ancient_protect_01"	"We're not finished yet..."
"DCG_VO_satyr_magician_ancient_protect_02"	"I'm not giving up yet..."
"DCG_VO_satyr_magician_ancient_both_01"	"Try to keep up..."
"DCG_VO_satyr_magician_ancient_both_02"	"I'll fight with everything I have!"
"DCG_VO_satyr_magician_use_ability_01"	"And for my next trick..."
"DCG_VO_satyr_magician_use_ability_02"	"We're just getting started..."
"DCG_VO_satyr_magician_use_ability_03"	"I have something special in store for you..."
"DCG_VO_satyr_magician_unique_01"	"Oh this is going to be good..."
"DCG_VO_satyr_magician_unique_02"	"How dare you!"
"DCG_VO_satyr_magician_unique_03"	"Here's the grand finale"
"DCG_VO_satyr_magician_unique_04"	"I see you met my lovely assistant."
"DCG_VO_satyr_magician_unique_05"	"The whole act is here."
"DCG_VO_satyr_magician_unique_06"	"This is getting ridiculous."
"DCG_VO_satyr_magician_unique_07"	"How do you still have options?"
"DCG_VO_satyr_magician_unique_08"	"Selemene I am but a pale shadow of your greatness."
"DCG_VO_satyr_magician_healed_01"	"Ahhh"
"DCG_VO_satyr_magician_healed_02"	"Thank you."
"DCG_VO_satyr_magician_healed_03"	"I appreciate it."
"DCG_VO_satyr_magician_death_01"	"<i>Screams</i>"
"DCG_VO_satyr_magician_tower_destroy_01"	"The show is almost over..."
"DCG_VO_satyr_magician_tower_destroy_02"	"For my next trick, I'll make your tower disappear."
"DCG_VO_satyr_magician_tower_destroy_03"	"Shows over for you..."
"DCG_VO_satyr_magician_tower_destroy_04"	"Farewell my friend."
"DCG_VO_satyr_magician_tower_destroy_05"	"You put up a noble fight, but I'm afraid it's over."
"DCG_VO_satyr_magician_tower_saved_01"	"Uh uh uh..."
"DCG_VO_satyr_magician_tower_saved_02"	"Tsk tsk tsk"
"DCG_VO_satyr_magician_tower_saved_03"	"I'm sorry my friend..."
"DCG_VO_satyr_magician_tower_saved_04"	"The show isn't over yet..."
"DCG_VO_satyr_magician_tower_saved_05"	"We'll never give up!"
"DCG_VO_merc_captain_intro"	"I've tried so hard to put my Jasper days behind me...to go back to a normal life. Take a husband, have a kid. It sounded pretty great. And that's when I learned that kids are really expensive.  So I may not delight in violence, but I do excell at it... and my expertise can be yours for a very reasonable fee."
"DCG_VO_merc_captain_summon_01"	"Alright, who am I killing?"
"DCG_VO_merc_captain_summon_02"	"Time to get to work."
"DCG_VO_merc_captain_summon_03"	"You get what you pay for."
"DCG_VO_merc_captain_ancient_attack_01"	"You're not paying me by the hour, let's get this over with."
"DCG_VO_merc_captain_ancient_attack_02"	"This shouldn't take long..."
"DCG_VO_merc_captain_ancient_protect_01"	"They won't get through me!"
"DCG_VO_merc_captain_ancient_protect_02"	"Leave this to me..."
"DCG_VO_merc_captain_ancient_both_01"	"Well this'll be exciting..."
"DCG_VO_merc_captain_ancient_both_02"	"I forgot what a challenge felt like..."
"DCG_VO_merc_captain_hero_friend_01"	"Axe... good to see ya, you big red bastard..."
"DCG_VO_merc_captain_hero_friend_02"	"Nice to be on the same side for once, Sorla..."
"DCG_VO_merc_captain_hero_friend_03"	"I work with you Tresdin, but I don’t take orders from you."
"DCG_VO_merc_captain_hero_rival_01"	"This isn't the first time I've had to take on the Red Mist."
"DCG_VO_merc_captain_hero_rival_02"	"Nothing personal Rix."
"DCG_VO_merc_captain_hero_rival_03"	"You think the Bronze Legion are the only ones who know how to fight?"
"DCG_VO_merc_captain_unique_01"	"OK, maybe I spoke too soon."
"DCG_VO_merc_captain_unique_02"	"Cute staff. You're dead."
"DCG_VO_merc_captain_unique_03"	"Time to find out if the legend lives up to the hype."
"DCG_VO_merc_captain_unique_04"	"Your bosses should've hired me..."
"DCG_VO_merc_captain_unique_05"	"I shouldn't have taken this job."
"DCG_VO_merc_captain_unique_06"	"We keep bumping into each other meepo..."
"DCG_VO_merc_captain_unique_07"	"Just business."
"DCG_VO_merc_captain_unique_08"	"Your little rebellion's about to end."
"DCG_VO_merc_captain_healed_01"	"Thanks"
"DCG_VO_merc_captain_healed_02"	"I appreciate it"
"DCG_VO_merc_captain_healed_03"	"Back to work"
"DCG_VO_merc_captain_death_01"	"<i>Screams</i>"
"DCG_VO_merc_captain_tower_destroy_01"	"I'm on it."
"DCG_VO_merc_captain_tower_destroy_02"	"Another satisfied customer."
"DCG_VO_merc_captain_tower_destroy_03"	"I'll take care of the tower!"
"DCG_VO_merc_captain_tower_destroy_04"	"Ill take care of it."
"DCG_VO_merc_captain_tower_destroy_05"	"You got it...."
"DCG_VO_merc_captain_tower_saved_01"	"Ill protect the tower!"
"DCG_VO_merc_captain_tower_saved_02"	"I don't think so."
"DCG_VO_merc_captain_tower_saved_03"	"Not so fast pal."
"DCG_VO_merc_captain_tower_saved_04"	"Yeah, that's not happening."
"DCG_VO_merc_captain_tower_saved_05"	"You have to go through me."
"DCG_VO_selfish_cleric_intro"	"For generations the Rumusque Faithful have defended the living world from the abominations that slink from the Fields of Endless Carnage. We were known as men and women of principle. Of valor. Of Devotion. And then Necrophos tried to destroy us all."
"DCG_VO_selfish_cleric_summon_01"	"I know my priorities."
"DCG_VO_selfish_cleric_summon_02"	"I'm not here to coddle you, I'm here to fight."
"DCG_VO_selfish_cleric_summon_03"	"By helping myself I'm helping all of us."
"DCG_VO_selfish_cleric_ancient_attack_01"	"Keep pressing the advantage!"
"DCG_VO_selfish_cleric_ancient_attack_02"	"This battle is almost over!"
"DCG_VO_selfish_cleric_ancient_protect_01"	"Let's see them get past me."
"DCG_VO_selfish_cleric_ancient_protect_02"	"I'll hold on as long as I can."
"DCG_VO_selfish_cleric_ancient_both_01"	"Don't worry, I can outlast them."
"DCG_VO_selfish_cleric_ancient_both_02"	"Leave this to me."
"DCG_VO_selfish_cleric_hero_friend_01"	"So... you heal other people Omniknight... interesting concept."
"DCG_VO_selfish_cleric_hero_friend_02"	"Your kindness is an example to all, enchantress. Well, not me, but most. "
"DCG_VO_selfish_cleric_hero_friend_03"	"Is this the beginning of your redemption Necrophos?"
"DCG_VO_selfish_cleric_hero_rival_01"	"You're a traitor to the faith!"
"DCG_VO_selfish_cleric_hero_rival_02"	"You'll pay for what you've done Necrophos."
"DCG_VO_selfish_cleric_hero_rival_03"	"The unclean will be purged."
"DCG_VO_selfish_cleric_faction_ally_01"	"The faithful will stand together."
"DCG_VO_selfish_cleric_faction_ally_02"	"The unclean doesn't have a chance."
"DCG_VO_selfish_cleric_faction_ally_03"	"The Rumusque have been reborn."
"DCG_VO_selfish_cleric_unique_01"	"The final death awaits you."
"DCG_VO_selfish_cleric_unique_02"	"I'll put you back in the ground!"
"DCG_VO_selfish_cleric_unique_03"	"This world is for the living!"
"DCG_VO_selfish_cleric_unique_04"	"I can stand here all day."
"DCG_VO_selfish_cleric_unique_05"	"Don't worry, at least I won't be dead."
"DCG_VO_selfish_cleric_unique_06"	"I'll get to healing you... eventually..."
"DCG_VO_selfish_cleric_unique_07"	"I know you'll be dead soon, but don't worry I'll be ok."
"DCG_VO_selfish_cleric_unique_08"	"I fear no fire."
"DCG_VO_selfish_cleric_healed_01"	"That's better."
"DCG_VO_selfish_cleric_healed_02"	"Ahhh"
"DCG_VO_selfish_cleric_healed_03"	"Ready to fight."
"DCG_VO_selfish_cleric_death_01"	"<i>Screams</i>"
"DCG_VO_selfish_cleric_tower_destroy_01"	"Ha!"
"DCG_VO_selfish_cleric_tower_destroy_02"	"Too easy..."
"DCG_VO_selfish_cleric_tower_destroy_03"	"Looks like I arrived just in time..."
"DCG_VO_selfish_cleric_tower_destroy_04"	"Let's end this fight."
"DCG_VO_selfish_cleric_tower_destroy_05"	"Time to end this."
"DCG_VO_selfish_cleric_tower_saved_01"	"I can do this all day."
"DCG_VO_selfish_cleric_tower_saved_02"	"I don't think so."
"DCG_VO_selfish_cleric_tower_saved_03"	"Try to get past me..."
"DCG_VO_selfish_cleric_tower_saved_04"	"The Rumusque are a wall of flesh and will."
"DCG_VO_selfish_cleric_tower_saved_05"	"I'll fight till my dying breath."
"DCG_VO_bronze_legionnaire_intro"	"The Red Mist Horde is on the march, looting and destroying every city that stands between them and our great capital of Stonehall. If we wish to protect our home...if we wish to stop these monsters... we must be willing to do whatever it takes."
"DCG_VO_bronze_legionnaire_summon_01"	"For the glory of Stonehall!"
"DCG_VO_bronze_legionnaire_summon_02"	"The Legion has arrived."
"DCG_VO_bronze_legionnaire_summon_03"	"I understand my orders."
"DCG_VO_bronze_legionnaire_ancient_attack_01"	"I will bring victory and honor."
"DCG_VO_bronze_legionnaire_ancient_attack_02"	"This battle is almost over."
"DCG_VO_bronze_legionnaire_ancient_protect_01"	"This isn't over yet."
"DCG_VO_bronze_legionnaire_ancient_protect_02"	"I'll fight till my dying breath."
"DCG_VO_bronze_legionnaire_ancient_both_01"	"The battle will be decided soon."
"DCG_VO_bronze_legionnaire_ancient_both_02"	"Time to end this battle."
"DCG_VO_bronze_legionnaire_hero_friend_01"	"What are your orders commander?"
"DCG_VO_bronze_legionnaire_hero_friend_02"	"I'm ready to serve commander."
"DCG_VO_bronze_legionnaire_hero_friend_03"	"I'll do my part, commander."
"DCG_VO_bronze_legionnaire_hero_rival_01"	"So you're the great Sorla Khan..."
"DCG_VO_bronze_legionnaire_hero_rival_02"	"You'll pay for your treachery, Rix."
"DCG_VO_bronze_legionnaire_hero_rival_03"	"I'm sorry commander."
"DCG_VO_bronze_legionnaire_faction_ally_01"	"The Bronze Legion stands united."
"DCG_VO_bronze_legionnaire_faction_ally_02"	"It's an honor to fight alongside my brothers."
"DCG_VO_bronze_legionnaire_faction_ally_03"	"Who can stand against us?"
"DCG_VO_bronze_legionnaire_unique_01"	"Raise the bullsnake high!"
"DCG_VO_bronze_legionnaire_unique_02"	"Time to end this rebellion."
"DCG_VO_bronze_legionnaire_unique_03"	"About time you Vhoul came to your senses."
"DCG_VO_bronze_legionnaire_unique_04"	"Now we fight the real enemy..."
"DCG_VO_bronze_legionnaire_unique_05"	"Savagery can never beat discipline"
"DCG_VO_bronze_legionnaire_unique_06"	"Rix was right about everything."
"DCG_VO_bronze_legionnaire_unique_07"	"If I must fight with you turncoats, I will..."
"DCG_VO_bronze_legionnaire_unique_08"	"Death to turncoats!"
"DCG_VO_bronze_legionnaire_healed_01"	"Ahhh"
"DCG_VO_bronze_legionnaire_healed_02"	"Thank you."
"DCG_VO_bronze_legionnaire_healed_03"	"Ready to fight"
"DCG_VO_bronze_legionnaire_death_01"	"<i>Screams</i>"
"DCG_VO_bronze_legionnaire_tower_destroy_01"	"Let's finish this battle."
"DCG_VO_bronze_legionnaire_tower_destroy_02"	"We're close to victory."
"DCG_VO_bronze_legionnaire_tower_destroy_03"	"Their tower will fall."
"DCG_VO_bronze_legionnaire_tower_destroy_04"	"Let's see their answer to this..."
"DCG_VO_bronze_legionnaire_tower_destroy_05"	"Stay the course, and victory is assured."
"DCG_VO_bronze_legionnaire_tower_saved_01"	"I will hold the line!"
"DCG_VO_bronze_legionnaire_tower_saved_02"	"Never admit defeat!"
"DCG_VO_bronze_legionnaire_tower_saved_03"	"Don't give up!"
"DCG_VO_bronze_legionnaire_tower_saved_04"	"The Legion is here!"
"DCG_VO_bronze_legionnaire_tower_saved_05"	"Stay back!"
"DCG_VO_mazzie_intro"	"So there I was: drinking with my friends, well actually I was drinking alone but I was thinking about my friends so it's basically the same thing. Anyway. Sniper walks into my workshop and is like 'Mazzie, you're wasting your life' and I'm like 'Geeze Sniper, if I wanted to feel bad about myself I'd ask my parents why they never visit me on my birthday' but Sniper's not interested in hearing about parental abandonment, he's interested in uniting the Keenfolk clans. So I say I'll help: on the condition that I get to give our group a cool name. Sniper rolled his eyes and sighed, which is basically the same thing as a yes, and THAT'S how the Society of Likeminded Keenfolk was born."
"DCG_VO_mazzie_defensive_stance"	"Sometimes people ask me 'Mazzie, how do you keep from getting killed if everyone hates you?' and that's when I tell them 'The secret is not letting them stab you to death.' "
"DCG_VO_mazzie_steel_reinforcemnet"	"When you have a whole town looking to destroy your workshop, you get pretty good at reinforcing buildings."
